PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,BROWSER,BROWSER VERSION,UNKNOWN PROPERTIES
166560084,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
89117962,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
44664318,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
21538028,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Sunday Times/223,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
17917941,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
9451685,Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) Times/1.3.2,Mobile,Apple,iPhone,iPhone,iOS,6.0,Mozilla,Unknown,1
9189532,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-US) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
8782271,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1,Mozilla,Unknown,1
8385515,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
7785297,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) Sunday Times/223,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
7511931,Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.3.1,Mobile,Apple,iPhone,iPhone,iOS,5.1.1,Mozilla,Unknown,1
6919966,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.8,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
6038164,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,4.3.5,Mozilla,Unknown,1
5491277,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,4.3.3,Mozilla,Unknown,1
5137173,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.0.1,Mozilla,Unknown,1
3035388,Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.3.2,Mobile,Apple,iPhone,iPhone,iOS,5.1.1,Mozilla,Unknown,1
2841338,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-US) iPadTimesAnvil/2.7,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
2664077,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),Computer,Unknown,Unknown,Unknown,Windows,7,Internet Explorer,9.0,3
2170016,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-AU) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
1755558,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Sunday Times/2.1.1,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
1706311,Mozilla/5.0 (Linux; U; Android 4.0.4; en-gb; GT-I9300 Build/IMM76D) Times/1.3.0,Mobile,Unknown,GT-I9300,Unknown,Android,4.0.4,Mozilla,Unknown,3
