PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,DEVICE DISPLAY WIDTH,DEVICE DISPLAY HEIGHT,DEVICE DISPLAY RESOLUTION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
166560084,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
89117962,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
44664318,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
21538028,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Sunday Times/223",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
17917941,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
9451685,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) Times/1.3.2",Unknown,Apple,iPhone,Unknown,320,480,320 x 480,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
9189532,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-US) iPadTimesAnvil/2.7",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
8782271,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
8385515,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
7785297,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) Sunday Times/223",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
7511931,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.3.1",Unknown,Apple,iPhone,Unknown,320,480,320 x 480,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
6919966,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.8",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
6038164,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Unknown,Apple,iPad,Unknown,768,1024,768 x 1024,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10
