PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE,UNKNOWN PROPERTIES
166560084,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
166560084,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
89117962,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,en,2
89117962,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,en,2
44664318,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,en,2
44664318,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8.1,en,2
21538028,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Sunday Times/223",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,Sunday Times,223,en,2
21538028,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Sunday Times/223",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,Sunday Times,223,en,2
17917941,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8,en,2
17917941,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) iPadTimesAnvil/2.8",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8,en,2
9451685,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) Times/1.3.2",Smartphone,Apple,iPhone,iPhone,iOS,6.0,Apple Inc.,Unknown,Unknown,Times,1.3.2,en,2
9451685,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) Times/1.3.2",Smartphone,Apple,iPhone,iPhone,iOS,6.0,Apple Inc.,Unknown,Unknown,Times,1.3.2,en,2
9189532,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-US) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
9189532,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-US) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
8782271,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
8782271,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.1,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
8385515,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
8385515,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
7785297,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) Sunday Times/223",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Unknown,Unknown,Sunday Times,223,en,2
7785297,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) Sunday Times/223",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Unknown,Unknown,Sunday Times,223,en,2
7511931,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.3.1",Smartphone,Apple,iPhone,iPhone,iOS,5.1.1,Apple Inc.,Unknown,Unknown,Times,1.3.1,en,2
7511931,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.3.1",Smartphone,Apple,iPhone,iPhone,iOS,5.1.1,Apple Inc.,Unknown,Unknown,Times,1.3.1,en,2
6919966,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.8",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8,en,2
6919966,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-GB) iPadTimesAnvil/2.8",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.8,en,2
6038164,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,4.3.5,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
6038164,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,4.3.5,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
5491277,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en-GB) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,4.3.3,Apple Inc.,Unknown,Unknown,iPadTimesAnvil,2.7,en,2
